,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2019-10-01,0.0,0.0,412,1110,12,9,12,21,116,0.0,79,10,1010,20
1,2019-10-01,60.0,0.0,412,1110,11,9,11,19,116,0.0,81,10,1010,23
2,2019-10-01,120.0,0.0,412,1110,11,9,11,17,116,0.0,82,10,1010,26
3,2019-10-01,180.0,0.0,412,1110,10,8,10,15,116,0.0,83,10,1010,30
4,2019-10-01,240.0,0.0,412,1110,10,8,10,15,116,0.0,83,10,1010,30
5,2019-10-01,300.0,0.0,412,1110,10,9,10,15,116,0.0,83,10,1010,30
6,2019-10-01,360.0,0.0,412,1110,11,9,11,15,116,0.0,83,10,1009,31
7,2019-10-01,420.0,0.0,412,1110,11,10,11,16,116,0.0,80,10,1009,33
8,2019-10-01,480.0,0.0,412,1110,12,11,12,17,116,0.0,77,10,1008,36
9,2019-10-01,540.0,0.0,412,1110,13,12,13,18,116,0.0,74,10,1008,39
10,2019-10-01,600.0,0.0,412,1110,15,13,15,21,116,0.0,68,10,1007,41
11,2019-10-01,660.0,0.0,412,1110,16,15,16,24,116,0.0,63,10,1006,43
12,2019-10-01,720.0,0.0,412,1110,18,17,18,27,116,0.0,57,10,1005,46
13,2019-10-01,780.0,0.0,412,1110,18,18,18,27,116,0.0,56,10,1004,46
14,2019-10-01,840.0,0.0,412,1110,19,18,19,26,116,0.0,55,10,1004,47
15,2019-10-01,900.0,0.0,412,1110,19,19,19,26,116,0.0,54,10,1003,48
16,2019-10-01,960.0,0.0,412,1110,18,18,18,25,116,0.0,57,10,1003,49
17,2019-10-01,1020.0,0.0,412,1110,18,18,18,25,116,0.0,61,10,1002,50
18,2019-10-01,1080.0,0.0,412,1110,17,17,17,24,116,0.0,64,10,1002,50
19,2019-10-01,1140.0,0.0,412,1110,17,17,17,23,116,0.0,67,10,1002,52
20,2019-10-01,1200.0,0.0,412,1110,16,16,16,22,116,0.0,69,10,1002,53
21,2019-10-01,1260.0,0.0,412,1110,16,16,16,21,116,0.0,72,10,1002,54
22,2019-10-01,1320.0,0.0,412,1110,16,16,16,19,116,0.0,73,10,1002,61
23,2019-10-01,1380.0,0.0,412,1110,16,16,16,18,116,0.0,74,10,1001,68
24,2019-10-02,0.0,0.0,413,1108,16,16,16,16,116,0.0,75,10,1001,75
25,2019-10-02,60.0,0.0,413,1108,16,16,16,15,116,0.0,76,10,1001,70
26,2019-10-02,120.0,0.0,413,1108,16,16,16,14,119,0.0,77,10,1001,65
27,2019-10-02,180.0,0.0,413,1108,15,15,15,12,119,0.0,79,10,1000,60
28,2019-10-02,240.0,0.0,413,1108,15,15,15,13,119,0.0,80,10,1000,68
29,2019-10-02,300.0,0.0,413,1108,15,15,15,14,116,0.0,81,10,1000,75
30,2019-10-02,360.0,0.0,413,1108,15,15,15,15,116,0.0,82,10,1000,83
31,2019-10-02,420.0,0.0,413,1108,16,16,16,17,116,0.0,80,10,1000,81
32,2019-10-02,480.0,0.0,413,1108,16,16,16,20,353,0.4,78,10,1000,80
33,2019-10-02,540.0,0.0,413,1108,17,17,17,22,353,0.5,76,9,1000,79
34,2019-10-02,600.0,0.0,413,1108,17,17,17,23,353,0.2,74,9,1001,82
35,2019-10-02,660.0,0.0,413,1108,17,17,17,23,293,0.5,73,10,1001,86
36,2019-10-02,720.0,0.0,413,1108,18,18,18,24,293,0.7,71,10,1002,90
37,2019-10-02,780.0,0.0,413,1108,16,15,16,24,293,0.4,74,10,1003,93
38,2019-10-02,840.0,0.0,413,1108,14,13,14,24,353,0.5,78,9,1003,97
39,2019-10-02,900.0,0.0,413,1108,13,11,13,24,353,0.7,81,9,1004,100
40,2019-10-02,960.0,0.0,413,1108,12,9,12,23,353,0.3,81,9,1005,93
41,2019-10-02,1020.0,0.0,413,1108,11,8,11,21,296,0.2,82,10,1006,85
42,2019-10-02,1080.0,0.0,413,1108,10,7,10,19,296,0.2,82,10,1007,78
43,2019-10-02,1140.0,0.0,413,1108,9,7,9,18,296,0.1,83,10,1008,67
44,2019-10-02,1200.0,0.0,413,1108,9,6,9,17,119,0.0,84,10,1008,56
45,2019-10-02,1260.0,0.0,413,1108,8,6,8,16,119,0.0,85,10,1009,46
46,2019-10-02,1320.0,0.0,413,1108,8,5,8,15,119,0.0,86,10,1010,38
47,2019-10-02,1380.0,0.0,413,1108,8,5,8,15,116,0.0,87,10,1011,30
48,2019-10-03,0.0,0.0,415,1106,7,5,7,14,116,0.0,88,10,1011,22
49,2019-10-03,60.0,0.0,415,1106,7,4,7,14,116,0.0,88,10,1011,18
50,2019-10-03,120.0,0.0,415,1106,7,4,7,14,116,0.0,88,10,1011,14
51,2019-10-03,180.0,0.0,415,1106,7,4,7,13,116,0.0,88,10,1012,10
52,2019-10-03,240.0,0.0,415,1106,7,4,7,13,116,0.0,87,10,1011,30
53,2019-10-03,300.0,0.0,415,1106,7,4,7,13,116,0.0,86,10,1011,49
54,2019-10-03,360.0,0.0,415,1106,7,4,7,13,116,0.0,85,10,1011,69
55,2019-10-03,420.0,0.0,415,1106,7,5,7,14,116,0.0,83,8,1011,79
56,2019-10-03,480.0,0.0,415,1106,8,5,8,16,122,0.1,81,6,1011,89
57,2019-10-03,540.0,0.0,415,1106,9,6,9,18,122,0.1,78,5,1011,100
58,2019-10-03,600.0,0.0,415,1106,9,7,9,20,122,0.1,78,5,1011,100
59,2019-10-03,660.0,0.0,415,1106,10,7,10,23,266,0.5,77,6,1012,100
60,2019-10-03,720.0,0.0,415,1106,10,7,10,25,266,0.7,76,7,1012,100
