,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-05-01,0.0,0.0,326,1213,7,5,7,10,113,0.0,77,10,1011,6
1,2015-05-01,60.0,0.0,326,1213,7,5,7,11,113,0.0,75,10,1011,23
2,2015-05-01,120.0,0.0,326,1213,7,5,7,11,116,0.0,73,10,1010,40
3,2015-05-01,180.0,0.0,326,1213,7,5,7,12,116,0.0,72,10,1010,57
4,2015-05-01,240.0,0.0,326,1213,8,6,8,11,116,0.0,73,10,1009,71
5,2015-05-01,300.0,0.0,326,1213,9,7,9,10,200,0.0,75,9,1009,86
6,2015-05-01,360.0,0.0,326,1213,10,9,10,9,200,0.0,76,9,1009,100
7,2015-05-01,420.0,0.0,326,1213,10,10,11,9,200,0.0,74,7,1009,97
8,2015-05-01,480.0,0.0,326,1213,11,10,11,9,266,0.2,73,4,1009,95
9,2015-05-01,540.0,0.0,326,1213,12,11,12,10,266,0.2,71,2,1009,92
10,2015-05-01,600.0,0.0,326,1213,12,12,13,10,266,0.1,69,5,1009,87
11,2015-05-01,660.0,0.0,326,1213,13,12,13,10,119,0.0,67,7,1008,82
12,2015-05-01,720.0,0.0,326,1213,13,12,13,10,119,0.0,65,10,1008,77
13,2015-05-01,780.0,0.0,326,1213,14,13,14,9,119,0.0,60,10,1008,64
14,2015-05-01,840.0,0.0,326,1213,14,14,14,9,116,0.0,55,10,1007,50
15,2015-05-01,900.0,0.0,326,1213,15,15,15,9,116,0.0,51,10,1007,37
16,2015-05-01,960.0,0.0,326,1213,12,12,13,7,116,0.0,63,10,1007,34
17,2015-05-01,1020.0,0.0,326,1213,10,10,10,5,116,0.0,75,10,1007,32
18,2015-05-01,1080.0,0.0,326,1213,7,8,8,3,116,0.0,87,10,1007,29
19,2015-05-01,1140.0,0.0,326,1213,6,7,7,2,116,0.0,87,10,1007,28
20,2015-05-01,1200.0,0.0,326,1213,6,6,6,2,116,0.0,88,10,1007,27
21,2015-05-01,1260.0,0.0,326,1213,5,6,6,1,116,0.0,88,10,1008,26
22,2015-05-01,1320.0,0.0,326,1213,5,5,5,2,116,0.0,88,10,1008,23
23,2015-05-01,1380.0,0.0,326,1213,4,5,5,2,113,0.0,89,10,1008,20
24,2015-05-02,0.0,0.0,324,1215,4,5,5,2,113,0.0,89,10,1008,17
