,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-03-01,0.0,0.0,458,1112,1,-2,1,11,113,0.0,89,10,1018,14
1,2015-03-01,60.0,0.0,458,1112,1,-2,1,11,113,0.0,90,10,1017,12
2,2015-03-01,120.0,0.0,458,1112,0,-2,1,10,113,0.0,91,10,1017,9
3,2015-03-01,180.0,0.0,458,1112,0,-2,1,10,113,0.0,92,10,1016,7
4,2015-03-01,240.0,0.0,458,1112,0,-3,1,11,113,0.0,91,10,1016,8
5,2015-03-01,300.0,0.0,458,1112,0,-3,1,11,113,0.0,91,10,1015,8
6,2015-03-01,360.0,0.0,458,1112,0,-3,1,12,113,0.0,91,10,1015,9
7,2015-03-01,420.0,0.0,458,1112,2,-1,2,14,113,0.0,82,10,1014,8
8,2015-03-01,480.0,0.0,458,1112,4,1,4,17,113,0.0,73,10,1013,7
9,2015-03-01,540.0,0.0,458,1112,6,2,6,20,113,0.0,64,10,1012,6
10,2015-03-01,600.0,0.0,458,1112,7,4,7,19,113,0.0,58,10,1011,21
11,2015-03-01,660.0,0.0,458,1112,8,5,8,18,116,0.0,52,10,1010,35
12,2015-03-01,720.0,0.0,458,1112,9,6,9,17,116,0.0,46,10,1009,49
13,2015-03-01,780.0,0.0,458,1112,8,5,8,18,116,0.0,51,8,1008,56
14,2015-03-01,840.0,0.0,458,1112,7,4,7,20,263,0.1,56,7,1007,64
15,2015-03-01,900.0,0.0,458,1112,7,3,7,21,263,0.1,61,5,1007,71
16,2015-03-01,960.0,0.0,458,1112,6,3,6,18,263,0.0,66,7,1007,76
17,2015-03-01,1020.0,0.0,458,1112,6,2,6,16,119,0.0,71,8,1006,81
18,2015-03-01,1080.0,0.0,458,1112,5,2,5,14,119,0.0,76,10,1006,86
19,2015-03-01,1140.0,0.0,458,1112,5,2,5,15,119,0.0,78,10,1006,71
20,2015-03-01,1200.0,0.0,458,1112,5,1,5,17,116,0.0,80,10,1006,56
21,2015-03-01,1260.0,0.0,458,1112,5,1,5,19,116,0.0,82,10,1006,42
22,2015-03-01,1320.0,0.0,458,1112,5,1,5,18,116,0.0,85,10,1006,34
23,2015-03-01,1380.0,0.0,458,1112,4,1,4,16,113,0.0,87,10,1005,26
24,2015-03-02,0.0,0.0,456,1113,4,1,4,14,113,0.0,90,10,1005,18
25,2015-03-02,60.0,0.0,456,1113,4,1,4,14,113,0.0,91,10,1005,27
26,2015-03-02,120.0,0.0,456,1113,4,1,4,13,116,0.0,93,10,1004,36
27,2015-03-02,180.0,0.0,456,1113,3,0,4,13,116,0.0,94,10,1003,45
28,2015-03-02,240.0,0.0,456,1113,4,1,4,13,116,0.0,93,10,1002,63
29,2015-03-02,300.0,0.0,456,1113,4,1,4,13,200,0.0,93,9,1001,82
30,2015-03-02,360.0,0.0,456,1113,5,2,5,13,200,0.0,92,9,1000,100
31,2015-03-02,420.0,0.0,456,1113,6,3,6,18,200,0.0,86,9,1000,82
32,2015-03-02,480.0,0.0,456,1113,8,4,8,24,293,0.3,79,9,999,64
33,2015-03-02,540.0,0.0,456,1113,9,6,9,29,293,0.4,73,9,999,46
34,2015-03-02,600.0,0.0,456,1113,9,5,9,28,293,0.2,69,9,999,40
35,2015-03-02,660.0,0.0,456,1113,9,5,9,26,116,0.0,66,10,1000,34
36,2015-03-02,720.0,0.0,456,1113,8,5,8,25,116,0.0,63,10,1001,28
37,2015-03-02,780.0,0.0,456,1113,8,4,8,24,116,0.0,61,10,1002,24
38,2015-03-02,840.0,0.0,456,1113,8,4,8,22,113,0.0,59,10,1003,19
39,2015-03-02,900.0,0.0,456,1113,7,4,7,21,113,0.0,57,10,1004,15
40,2015-03-02,960.0,0.0,456,1113,6,2,6,21,113,0.0,62,10,1004,13
41,2015-03-02,1020.0,0.0,456,1113,5,1,5,21,113,0.0,67,10,1005,11
42,2015-03-02,1080.0,0.0,456,1113,4,-1,4,21,113,0.0,72,10,1006,10
43,2015-03-02,1140.0,0.0,456,1113,3,-1,3,18,113,0.0,73,10,1007,10
44,2015-03-02,1200.0,0.0,456,1113,3,-1,3,15,113,0.0,74,10,1007,11
45,2015-03-02,1260.0,0.0,456,1113,3,-1,3,13,113,0.0,75,10,1008,11
46,2015-03-02,1320.0,0.0,456,1113,2,-1,2,13,113,0.0,76,10,1008,39
47,2015-03-02,1380.0,0.0,456,1113,2,-1,2,14,122,0.0,77,10,1009,67
48,2015-03-03,0.0,0.3,454,1115,2,-2,2,14,122,0.0,78,10,1009,95
49,2015-03-03,60.0,0.3,454,1115,2,-2,2,16,122,0.0,79,7,1010,91
50,2015-03-03,120.0,0.3,454,1115,2,-2,2,19,338,0.1,80,5,1011,87
51,2015-03-03,180.0,0.3,454,1115,2,-2,3,21,338,0.2,82,2,1011,84
52,2015-03-03,240.0,0.3,454,1115,2,-2,2,19,338,0.1,80,5,1012,89
53,2015-03-03,300.0,0.3,454,1115,2,-2,2,17,122,0.0,79,7,1013,95
54,2015-03-03,360.0,0.3,454,1115,2,-2,2,15,122,0.0,77,10,1014,100
55,2015-03-03,420.0,0.3,454,1115,3,-2,3,21,122,0.0,74,10,1015,96
56,2015-03-03,480.0,0.3,454,1115,3,-2,3,27,119,0.0,70,10,1016,91
57,2015-03-03,540.0,0.3,454,1115,4,-1,4,32,119,0.0,67,10,1017,87
58,2015-03-03,600.0,0.3,454,1115,5,0,5,30,119,0.0,61,10,1017,63
59,2015-03-03,660.0,0.3,454,1115,6,2,6,28,113,0.0,55,10,1018,40
60,2015-03-03,720.0,0.3,454,1115,7,3,7,26,113,0.0,49,10,1018,17
61,2015-03-03,780.0,0.3,454,1115,7,3,7,23,113,0.0,49,10,1018,13
62,2015-03-03,840.0,0.3,454,1115,7,3,7,21,113,0.0,50,10,1018,10
63,2015-03-03,900.0,0.3,454,1115,7,3,7,18,113,0.0,50,10,1018,7
64,2015-03-03,960.0,0.3,454,1115,5,2,5,15,113,0.0,57,10,1019,13
