,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-09-01,0.0,1472680800.0,0.0,365,1177,14,16,16,9,113,0.0,68,10,1022,0
1,2016-09-01,60.0,1472684400.0,0.0,365,1177,14,16,16,9,113,0.0,68,10,1022,0
2,2016-09-01,120.0,1472688000.0,0.0,365,1177,14,16,16,8,113,0.0,69,10,1021,0
3,2016-09-01,180.0,1472691600.0,0.0,365,1177,14,16,16,8,113,0.0,70,10,1021,0
4,2016-09-01,240.0,1472695200.0,0.0,365,1177,15,17,17,8,113,0.0,66,10,1021,0
5,2016-09-01,300.0,1472698800.0,0.0,365,1177,16,18,18,8,113,0.0,61,10,1021,0
6,2016-09-01,360.0,1472702400.0,0.0,365,1177,17,19,19,8,113,0.0,57,10,1021,0
7,2016-09-01,420.0,1472706000.0,0.0,365,1177,20,22,22,7,113,0.0,50,10,1021,0
8,2016-09-01,480.0,1472709600.0,0.0,365,1177,22,25,25,6,113,0.0,43,10,1021,0
9,2016-09-01,540.0,1472713200.0,0.0,365,1177,25,27,27,5,113,0.0,37,10,1021,0
10,2016-09-01,600.0,1472716800.0,0.0,365,1177,26,27,27,7,113,0.0,34,10,1020,4
11,2016-09-01,660.0,1472720400.0,0.0,365,1177,27,27,27,8,113,0.0,31,10,1020,7
12,2016-09-01,720.0,1472724000.0,0.0,365,1177,28,27,27,9,113,0.0,29,10,1020,11
13,2016-09-01,780.0,1472727600.0,0.0,365,1177,28,27,27,9,113,0.0,30,10,1019,13
14,2016-09-01,840.0,1472731200.0,0.0,365,1177,28,27,27,10,113,0.0,31,10,1019,14
15,2016-09-01,900.0,1472734800.0,0.0,365,1177,28,27,27,10,113,0.0,32,10,1019,16
16,2016-09-01,960.0,1472738400.0,0.0,365,1177,25,25,25,9,113,0.0,39,10,1019,19
17,2016-09-01,1020.0,1472742000.0,0.0,365,1177,23,23,23,8,113,0.0,47,10,1019,21
18,2016-09-01,1080.0,1472745600.0,0.0,365,1177,20,21,21,6,113,0.0,54,10,1019,24
19,2016-09-01,1140.0,1472749200.0,0.0,365,1177,20,20,20,7,113,0.0,58,10,1019,23
20,2016-09-01,1200.0,1472752800.0,0.0,365,1177,19,19,19,7,113,0.0,61,10,1020,23
21,2016-09-01,1260.0,1472756400.0,0.0,365,1177,18,19,19,7,113,0.0,64,10,1020,22
22,2016-09-01,1320.0,1472760000.0,0.0,365,1177,18,18,18,7,113,0.0,67,10,1020,20
23,2016-09-01,1380.0,1472763600.0,0.0,365,1177,17,18,18,6,113,0.0,69,10,1020,18
24,2016-09-02,0.0,1472767200.0,0.0,367,1175,17,17,17,6,113,0.0,72,10,1020,16
25,2016-09-02,60.0,1472770800.0,0.0,367,1175,16,17,17,6,113,0.0,74,10,1020,16
26,2016-09-02,120.0,1472774400.0,0.0,367,1175,16,17,17,6,113,0.0,77,10,1020,16
27,2016-09-02,180.0,1472778000.0,0.0,367,1175,16,16,16,6,113,0.0,79,10,1020,16
28,2016-09-02,240.0,1472781600.0,0.0,367,1175,17,17,17,7,113,0.0,74,10,1020,19
29,2016-09-02,300.0,1472785200.0,0.0,367,1175,18,18,18,7,116,0.0,70,10,1020,22
30,2016-09-02,360.0,1472788800.0,0.0,367,1175,19,19,19,7,116,0.0,65,10,1021,25
31,2016-09-02,420.0,1472792400.0,0.0,367,1175,20,21,21,8,116,0.0,59,10,1021,33
32,2016-09-02,480.0,1472796000.0,0.0,367,1175,22,23,23,8,116,0.0,53,10,1021,41
33,2016-09-02,540.0,1472799600.0,0.0,367,1175,24,25,25,9,116,0.0,47,10,1021,49
34,2016-09-02,600.0,1472803200.0,0.0,367,1175,24,25,25,9,116,0.0,46,10,1020,57
35,2016-09-02,660.0,1472806800.0,0.0,367,1175,25,26,26,10,119,0.0,44,10,1020,65
36,2016-09-02,720.0,1472810400.0,0.0,367,1175,25,26,26,10,119,0.0,42,10,1020,73
37,2016-09-02,780.0,1472814000.0,0.0,367,1175,25,26,26,10,119,0.0,43,10,1020,64
38,2016-09-02,840.0,1472817600.0,0.0,367,1175,25,26,26,10,116,0.0,43,10,1020,55
