,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2019-09-01,0.0,1567288800.0,0.0,364,1179,21,21,22,16,176,0.1,78,10,1014,82
1,2019-09-01,60.0,1567292400.0,0.0,364,1179,21,21,21,15,176,0.1,78,10,1014,66
2,2019-09-01,120.0,1567296000.0,0.0,364,1179,21,21,21,15,176,0.0,79,10,1013,50
3,2019-09-01,180.0,1567299600.0,0.0,364,1179,20,20,20,14,176,0.0,80,10,1013,34
4,2019-09-01,240.0,1567303200.0,0.0,364,1179,21,21,21,14,176,0.0,77,10,1012,25
5,2019-09-01,300.0,1567306800.0,0.0,364,1179,21,21,22,14,116,0.0,74,10,1012,16
6,2019-09-01,360.0,1567310400.0,0.0,364,1179,22,22,23,14,116,0.0,71,10,1011,7
7,2019-09-01,420.0,1567314000.0,0.0,364,1179,23,25,25,16,116,0.0,66,10,1011,8
8,2019-09-01,480.0,1567317600.0,0.0,364,1179,25,26,26,18,116,0.0,60,10,1011,8
9,2019-09-01,540.0,1567321200.0,0.0,364,1179,27,28,28,20,116,0.0,54,10,1011,9
10,2019-09-01,600.0,1567324800.0,0.0,364,1179,28,29,29,20,116,0.0,51,10,1010,12
11,2019-09-01,660.0,1567328400.0,0.0,364,1179,29,30,30,21,116,0.0,49,10,1010,14
12,2019-09-01,720.0,1567332000.0,0.0,364,1179,30,31,31,21,116,0.0,46,10,1010,17
13,2019-09-01,780.0,1567335600.0,0.0,364,1179,30,31,31,20,116,0.0,46,10,1010,17
14,2019-09-01,840.0,1567339200.0,0.0,364,1179,30,31,31,18,116,0.0,45,10,1009,17
15,2019-09-01,900.0,1567342800.0,0.0,364,1179,30,31,31,17,116,0.0,44,10,1009,17
16,2019-09-01,960.0,1567346400.0,0.0,364,1179,29,30,30,15,116,0.0,49,10,1009,31
17,2019-09-01,1020.0,1567350000.0,0.0,364,1179,29,30,30,13,116,0.2,53,10,1009,46
18,2019-09-01,1080.0,1567353600.0,0.0,364,1179,28,29,29,10,116,0.3,58,9,1010,61
19,2019-09-01,1140.0,1567357200.0,0.0,364,1179,26,28,28,10,116,0.2,65,9,1010,68
20,2019-09-01,1200.0,1567360800.0,0.0,364,1179,25,27,27,9,176,0.8,72,8,1011,76
21,2019-09-01,1260.0,1567364400.0,0.0,364,1179,24,26,26,9,176,1.1,80,8,1011,83
22,2019-09-01,1320.0,1567368000.0,0.0,364,1179,23,24,24,10,176,0.6,83,7,1012,82
23,2019-09-01,1380.0,1567371600.0,0.0,364,1179,22,22,23,12,356,1.3,86,7,1012,80
24,2019-09-02,0.0,1567375200.0,0.0,366,1177,21,21,21,13,356,1.7,89,7,1013,79
25,2019-09-02,60.0,1567378800.0,0.0,366,1177,20,20,21,14,356,0.8,89,8,1013,79
26,2019-09-02,120.0,1567382400.0,0.0,366,1177,20,20,20,15,356,0.7,89,8,1014,78
27,2019-09-02,180.0,1567386000.0,0.0,366,1177,19,19,19,16,356,0.9,89,9,1014,78
28,2019-09-02,240.0,1567389600.0,0.0,366,1177,19,19,19,17,356,0.4,89,9,1015,83
29,2019-09-02,300.0,1567393200.0,0.0,366,1177,19,19,19,18,353,0.1,88,10,1015,88
30,2019-09-02,360.0,1567396800.0,0.0,366,1177,18,18,18,19,353,0.1,87,10,1016,93
31,2019-09-02,420.0,1567400400.0,0.0,366,1177,18,18,18,19,353,0.1,83,10,1016,95
