,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-05-01,0.0,0.0,325,1214,6,5,7,10,113,0.0,93,10,1020,3
1,2016-05-01,60.0,0.0,325,1214,6,5,7,10,113,0.0,94,7,1020,7
2,2016-05-01,120.0,0.0,325,1214,6,4,6,9,143,0.0,95,5,1020,11
3,2016-05-01,180.0,0.0,325,1214,5,4,6,9,143,0.0,96,2,1020,15
4,2016-05-01,240.0,0.0,325,1214,7,6,7,9,143,0.0,87,5,1021,38
5,2016-05-01,300.0,0.0,325,1214,8,7,9,9,119,0.0,79,7,1021,61
6,2016-05-01,360.0,0.0,325,1214,10,9,10,9,119,0.0,70,10,1021,83
7,2016-05-01,420.0,0.0,325,1214,12,11,12,10,119,0.0,63,10,1021,81
8,2016-05-01,480.0,0.0,325,1214,13,13,13,11,119,0.0,56,10,1021,79
9,2016-05-01,540.0,0.0,325,1214,15,15,15,11,119,0.0,49,10,1020,77
10,2016-05-01,600.0,0.0,325,1214,16,16,16,11,119,0.0,47,10,1021,59
11,2016-05-01,660.0,0.0,325,1214,16,17,17,11,113,0.0,45,10,1021,42
12,2016-05-01,720.0,0.0,325,1214,17,17,17,11,113,0.0,43,10,1021,25
13,2016-05-01,780.0,0.0,325,1214,17,17,17,13,113,0.0,45,10,1021,27
14,2016-05-01,840.0,0.0,325,1214,17,17,17,14,116,0.0,47,10,1021,28
15,2016-05-01,900.0,0.0,325,1214,16,16,16,16,116,0.0,49,10,1021,30
16,2016-05-01,960.0,0.0,325,1214,14,14,15,13,116,0.0,57,10,1021,28
17,2016-05-01,1020.0,0.0,325,1214,13,13,13,9,116,0.0,65,10,1021,27
18,2016-05-01,1080.0,0.0,325,1214,11,11,11,6,116,0.0,73,10,1022,26
19,2016-05-01,1140.0,0.0,325,1214,10,10,11,7,116,0.0,74,10,1022,32
20,2016-05-01,1200.0,0.0,325,1214,10,9,10,8,116,0.0,75,10,1023,39
21,2016-05-01,1260.0,0.0,325,1214,9,8,9,9,116,0.0,77,10,1023,45
22,2016-05-01,1320.0,0.0,325,1214,8,7,8,9,116,0.0,80,10,1023,46
23,2016-05-01,1380.0,0.0,325,1214,7,6,8,8,116,0.0,84,10,1024,46
24,2016-05-02,0.0,0.0,323,1216,6,5,7,7,116,0.0,87,10,1024,46
25,2016-05-02,60.0,0.0,323,1216,6,5,6,8,116,0.0,89,10,1024,44
26,2016-05-02,120.0,0.0,323,1216,6,4,6,8,116,0.0,91,10,1024,41
27,2016-05-02,180.0,0.0,323,1216,5,4,6,8,116,0.0,93,10,1024,39
28,2016-05-02,240.0,0.0,323,1216,7,6,8,8,116,0.0,86,10,1024,35
29,2016-05-02,300.0,0.0,323,1216,9,8,9,8,116,0.0,79,10,1024,31
30,2016-05-02,360.0,0.0,323,1216,11,10,11,7,116,0.0,72,10,1024,27
31,2016-05-02,420.0,0.0,323,1216,12,12,13,8,116,0.0,65,10,1023,25
