,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-08-01,0.0,1438380000.0,0.0,317,1239,12,11,12,9,113,0.0,71,10,1020,15
1,2015-08-01,60.0,1438383600.0,0.0,317,1239,11,11,12,9,113,0.0,72,10,1020,18
2,2015-08-01,120.0,1438387200.0,0.0,317,1239,11,11,12,9,113,0.0,73,10,1020,22
3,2015-08-01,180.0,1438390800.0,0.0,317,1239,11,11,11,9,113,0.0,74,10,1020,25
4,2015-08-01,240.0,1438394400.0,0.0,317,1239,12,12,13,10,113,0.0,67,10,1020,28
5,2015-08-01,300.0,1438398000.0,0.0,317,1239,14,14,14,11,116,0.0,61,10,1019,31
6,2015-08-01,360.0,1438401600.0,0.0,317,1239,15,16,16,12,116,0.0,54,10,1019,34
7,2015-08-01,420.0,1438405200.0,0.0,317,1239,18,18,18,13,116,0.0,49,10,1019,30
8,2015-08-01,480.0,1438408800.0,0.0,317,1239,20,20,21,13,113,0.0,44,10,1019,26
9,2015-08-01,540.0,1438412400.0,0.0,317,1239,22,24,24,14,113,0.0,38,10,1019,21
10,2015-08-01,600.0,1438416000.0,0.0,317,1239,23,25,25,13,113,0.0,36,10,1018,22
11,2015-08-01,660.0,1438419600.0,0.0,317,1239,25,25,25,13,113,0.0,34,10,1018,23
12,2015-08-01,720.0,1438423200.0,0.0,317,1239,26,26,26,12,113,0.0,32,10,1018,23
13,2015-08-01,780.0,1438426800.0,0.0,317,1239,26,26,26,13,113,0.0,32,10,1017,21
14,2015-08-01,840.0,1438430400.0,0.0,317,1239,26,26,26,13,113,0.0,31,10,1017,19
15,2015-08-01,900.0,1438434000.0,0.0,317,1239,26,26,26,14,113,0.0,31,10,1016,16
16,2015-08-01,960.0,1438437600.0,0.0,317,1239,25,25,25,12,113,0.0,37,10,1016,16
17,2015-08-01,1020.0,1438441200.0,0.0,317,1239,23,25,25,11,113,0.0,43,10,1016,15
18,2015-08-01,1080.0,1438444800.0,0.0,317,1239,21,22,24,9,113,0.0,50,10,1016,14
