,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-06-01,0.0,0.0,283,1257,12,12,12,9,113,0.0,77,10,1016,22
1,2015-06-01,60.0,0.0,283,1257,12,12,12,10,113,0.0,79,10,1015,24
2,2015-06-01,120.0,0.0,283,1257,12,11,12,10,116,0.0,80,10,1015,25
3,2015-06-01,180.0,0.0,283,1257,12,11,12,10,116,0.0,81,10,1015,26
4,2015-06-01,240.0,0.0,283,1257,14,14,15,11,116,0.0,74,10,1015,25
5,2015-06-01,300.0,0.0,283,1257,17,17,17,11,113,0.0,66,10,1015,24
6,2015-06-01,360.0,0.0,283,1257,19,19,19,12,113,0.0,58,10,1015,22
7,2015-06-01,420.0,0.0,283,1257,21,21,21,13,113,0.0,52,10,1015,28
8,2015-06-01,480.0,0.0,283,1257,23,23,23,15,116,0.0,46,10,1015,33
9,2015-06-01,540.0,0.0,283,1257,25,25,25,17,116,0.0,40,10,1015,38
10,2015-06-01,600.0,0.0,283,1257,25,26,26,17,116,0.0,41,10,1015,41
11,2015-06-01,660.0,0.0,283,1257,26,26,26,18,116,0.0,41,10,1015,44
12,2015-06-01,720.0,0.0,283,1257,26,26,26,18,116,0.0,41,10,1016,46
13,2015-06-01,780.0,0.0,283,1257,25,26,26,15,116,0.0,50,10,1016,54
14,2015-06-01,840.0,0.0,283,1257,24,25,25,13,353,0.7,58,10,1016,62
15,2015-06-01,900.0,0.0,283,1257,23,25,25,10,353,1.0,67,10,1016,70
16,2015-06-01,960.0,0.0,283,1257,22,22,23,9,353,0.5,73,10,1016,71
17,2015-06-01,1020.0,0.0,283,1257,20,21,21,8,119,0.0,79,10,1016,73
18,2015-06-01,1080.0,0.0,283,1257,19,19,19,6,119,0.0,85,10,1016,74
19,2015-06-01,1140.0,0.0,283,1257,18,18,18,8,119,0.0,89,10,1016,65
20,2015-06-01,1200.0,0.0,283,1257,17,17,17,9,353,0.3,94,10,1016,56
21,2015-06-01,1260.0,0.0,283,1257,16,16,16,10,353,0.3,98,10,1017,47
22,2015-06-01,1320.0,0.0,283,1257,15,15,15,8,353,0.2,99,7,1017,65
23,2015-06-01,1380.0,0.0,283,1257,14,15,14,6,248,0.0,99,3,1017,82
