,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-09-01,0.0,1441058400.0,0.0,364,1179,14,15,15,10,119,0.0,81,8,1018,52
1,2015-09-01,60.0,1441062000.0,0.0,364,1179,14,14,15,11,119,0.0,82,8,1018,53
2,2015-09-01,120.0,1441065600.0,0.0,364,1179,14,14,14,11,299,0.2,83,8,1018,54
3,2015-09-01,180.0,1441069200.0,0.0,364,1179,13,14,14,11,299,0.3,84,8,1018,55
4,2015-09-01,240.0,1441072800.0,0.0,364,1179,14,14,14,12,299,0.1,82,9,1018,55
5,2015-09-01,300.0,1441076400.0,0.0,364,1179,14,14,15,13,119,0.0,79,9,1018,55
6,2015-09-01,360.0,1441080000.0,0.0,364,1179,15,15,15,14,119,0.0,76,10,1018,54
7,2015-09-01,420.0,1441083600.0,0.0,364,1179,16,16,17,13,119,0.0,71,9,1018,62
8,2015-09-01,480.0,1441087200.0,0.0,364,1179,18,18,18,13,176,0.0,66,9,1018,69
9,2015-09-01,540.0,1441090800.0,0.0,364,1179,19,19,20,13,176,0.0,61,8,1018,77
10,2015-09-01,600.0,1441094400.0,0.0,364,1179,20,20,20,13,176,0.0,59,9,1018,67
11,2015-09-01,660.0,1441098000.0,0.0,364,1179,20,20,21,13,116,0.0,56,9,1018,58
12,2015-09-01,720.0,1441101600.0,0.0,364,1179,21,21,21,14,116,0.0,54,10,1018,48
13,2015-09-01,780.0,1441105200.0,0.0,364,1179,20,20,21,14,116,0.0,56,10,1018,49
14,2015-09-01,840.0,1441108800.0,0.0,364,1179,20,20,21,14,299,0.2,57,9,1018,50
15,2015-09-01,900.0,1441112400.0,0.0,364,1179,20,20,20,14,299,0.3,58,9,1017,51
16,2015-09-01,960.0,1441116000.0,0.0,364,1179,19,19,19,13,299,0.1,62,9,1018,50
17,2015-09-01,1020.0,1441119600.0,0.0,364,1179,18,17,18,12,116,0.0,67,9,1018,48
18,2015-09-01,1080.0,1441123200.0,0.0,364,1179,16,16,17,11,116,0.0,71,9,1018,47
19,2015-09-01,1140.0,1441126800.0,0.0,364,1179,16,15,16,11,116,0.0,74,9,1018,48
20,2015-09-01,1200.0,1441130400.0,0.0,364,1179,15,15,15,11,305,0.5,76,9,1018,49
21,2015-09-01,1260.0,1441134000.0,0.0,364,1179,15,14,15,11,305,0.6,78,9,1018,51
22,2015-09-01,1320.0,1441137600.0,0.0,364,1179,15,14,15,12,305,0.3,78,9,1018,53
23,2015-09-01,1380.0,1441141200.0,0.0,364,1179,15,14,15,12,305,0.4,78,9,1018,56
24,2015-09-02,0.0,1441144800.0,0.0,366,1177,15,14,15,12,305,0.5,78,9,1018,58
25,2015-09-02,60.0,1441148400.0,0.0,366,1177,15,15,15,13,305,0.3,78,9,1018,63
26,2015-09-02,120.0,1441152000.0,0.0,366,1177,15,15,15,13,305,0.3,78,9,1017,67
27,2015-09-02,180.0,1441155600.0,0.0,366,1177,15,15,15,14,305,0.3,78,10,1017,72
28,2015-09-02,240.0,1441159200.0,0.0,366,1177,15,15,15,14,305,0.2,78,10,1016,80
29,2015-09-02,300.0,1441162800.0,0.0,366,1177,16,15,16,15,122,0.0,78,10,1016,89
30,2015-09-02,360.0,1441166400.0,0.0,366,1177,16,16,16,16,122,0.0,78,10,1015,98
31,2015-09-02,420.0,1441170000.0,0.0,366,1177,17,17,17,16,122,0.0,70,10,1016,70
32,2015-09-02,480.0,1441173600.0,0.0,366,1177,18,18,18,16,113,0.0,61,10,1016,41
33,2015-09-02,540.0,1441177200.0,0.0,366,1177,19,19,19,17,113,0.0,53,10,1017,13
34,2015-09-02,600.0,1441180800.0,0.0,366,1177,20,20,21,15,113,0.0,49,10,1017,11
35,2015-09-02,660.0,1441184400.0,0.0,366,1177,21,21,22,14,113,0.0,45,10,1017,9
36,2015-09-02,720.0,1441188000.0,0.0,366,1177,22,22,24,13,113,0.0,40,10,1017,7
37,2015-09-02,780.0,1441191600.0,0.0,366,1177,22,22,24,12,113,0.0,38,10,1016,10
38,2015-09-02,840.0,1441195200.0,0.0,366,1177,22,22,24,10,113,0.0,36,10,1016,13
39,2015-09-02,900.0,1441198800.0,0.0,366,1177,22,24,24,9,113,0.0,35,10,1015,17
40,2015-09-02,960.0,1441202400.0,0.0,366,1177,20,20,21,8,113,0.0,41,10,1016,19
