,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-04-01,0.0,0.0,387,1166,7,4,7,15,122,0.0,94,10,1012,100
1,2016-04-01,60.0,0.0,387,1166,6,3,6,16,122,0.0,93,10,1012,100
2,2016-04-01,120.0,0.0,387,1166,6,2,6,16,122,0.0,93,10,1012,100
3,2016-04-01,180.0,0.0,387,1166,5,2,5,16,122,0.0,92,10,1012,100
4,2016-04-01,240.0,0.0,387,1166,5,2,5,14,122,0.0,91,10,1013,100
5,2016-04-01,300.0,0.0,387,1166,4,2,5,12,122,0.0,90,10,1014,100
6,2016-04-01,360.0,0.0,387,1166,4,2,4,10,122,0.0,88,10,1015,100
7,2016-04-01,420.0,0.0,387,1166,4,2,5,10,122,0.0,87,10,1016,92
8,2016-04-01,480.0,0.0,387,1166,5,2,5,10,119,0.0,86,10,1017,85
9,2016-04-01,540.0,0.0,387,1166,5,3,5,10,119,0.0,85,10,1017,77
10,2016-04-01,600.0,0.0,387,1166,6,3,6,11,119,0.0,81,10,1019,73
11,2016-04-01,660.0,0.0,387,1166,6,4,6,12,119,0.0,78,10,1020,70
12,2016-04-01,720.0,0.0,387,1166,7,5,7,12,119,0.0,75,10,1021,67
13,2016-04-01,780.0,0.0,387,1166,8,6,8,13,119,0.0,70,10,1021,52
14,2016-04-01,840.0,0.0,387,1166,9,7,9,14,113,0.0,65,10,1021,37
15,2016-04-01,900.0,0.0,387,1166,10,7,10,15,113,0.0,60,10,1021,23
16,2016-04-01,960.0,0.0,387,1166,8,6,8,13,113,0.0,67,10,1022,48
17,2016-04-01,1020.0,0.0,387,1166,7,5,7,12,122,0.0,73,10,1022,74
18,2016-04-01,1080.0,0.0,387,1166,5,3,6,10,122,0.0,79,10,1023,100
19,2016-04-01,1140.0,0.0,387,1166,5,3,5,10,122,0.0,80,10,1024,68
20,2016-04-01,1200.0,0.0,387,1166,4,3,5,9,113,0.0,82,10,1024,37
21,2016-04-01,1260.0,0.0,387,1166,4,2,5,9,113,0.0,83,10,1025,6
22,2016-04-01,1320.0,0.0,387,1166,3,2,4,7,113,0.0,83,10,1025,8
23,2016-04-01,1380.0,0.0,387,1166,2,1,3,6,113,0.0,83,10,1026,9
24,2016-04-02,0.0,0.0,384,1167,1,1,2,5,113,0.0,82,10,1027,11
25,2016-04-02,60.0,0.0,384,1167,1,0,2,6,113,0.0,82,10,1027,12
26,2016-04-02,120.0,0.0,384,1167,1,-0,2,7,113,0.0,81,10,1027,12
27,2016-04-02,180.0,0.0,384,1167,1,-1,2,9,113,0.0,81,10,1027,13
28,2016-04-02,240.0,0.0,384,1167,2,-1,2,10,113,0.0,78,10,1027,17
29,2016-04-02,300.0,0.0,384,1167,3,-0,3,12,116,0.0,74,10,1027,21
30,2016-04-02,360.0,0.0,384,1167,3,-0,3,14,116,0.0,71,10,1027,25
31,2016-04-02,420.0,0.0,384,1167,5,2,5,15,116,0.0,64,10,1027,20
32,2016-04-02,480.0,0.0,384,1167,7,4,7,17,113,0.0,57,10,1027,15
33,2016-04-02,540.0,0.0,384,1167,9,6,9,19,113,0.0,49,10,1026,9
