,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2019-08-01,0.0,1564610400.0,0.0,317,1239,18,18,18,8,386,1.5,90,8,1015,69
1,2019-08-01,60.0,1564614000.0,0.0,317,1239,17,17,17,8,386,0.7,91,8,1016,64
2,2019-08-01,120.0,1564617600.0,0.0,317,1239,17,17,17,9,356,0.4,92,8,1016,60
3,2019-08-01,180.0,1564621200.0,0.0,317,1239,16,16,16,10,356,0.5,93,8,1016,55
4,2019-08-01,240.0,1564624800.0,0.0,317,1239,17,17,17,10,356,0.3,90,9,1016,58
5,2019-08-01,300.0,1564628400.0,0.0,317,1239,17,17,17,11,176,0.2,88,9,1016,61
6,2019-08-01,360.0,1564632000.0,0.0,317,1239,18,18,18,12,176,0.2,86,10,1016,64
7,2019-08-01,420.0,1564635600.0,0.0,317,1239,19,19,19,13,176,0.1,80,10,1016,67
8,2019-08-01,480.0,1564639200.0,0.0,317,1239,20,20,21,14,299,0.1,74,9,1016,70
9,2019-08-01,540.0,1564642800.0,0.0,317,1239,21,21,23,15,299,0.1,68,9,1016,72
10,2019-08-01,600.0,1564646400.0,0.0,317,1239,22,24,24,15,299,0.1,64,9,1016,73
11,2019-08-01,660.0,1564650000.0,0.0,317,1239,23,24,24,16,176,0.3,60,9,1016,75
12,2019-08-01,720.0,1564653600.0,0.0,317,1239,24,25,25,17,176,0.4,56,9,1016,76
13,2019-08-01,780.0,1564657200.0,0.0,317,1239,24,25,25,17,176,0.2,55,9,1015,78
14,2019-08-01,840.0,1564660800.0,0.0,317,1239,24,25,25,18,176,0.3,55,9,1015,80
15,2019-08-01,900.0,1564664400.0,0.0,317,1239,24,25,25,18,176,0.4,54,9,1015,82
16,2019-08-01,960.0,1564668000.0,0.0,317,1239,23,24,24,16,176,0.2,57,9,1015,84
17,2019-08-01,1020.0,1564671600.0,0.0,317,1239,23,23,23,15,176,0.2,61,9,1015,86
18,2019-08-01,1080.0,1564675200.0,0.0,317,1239,22,22,22,13,176,0.3,64,10,1015,88
19,2019-08-01,1140.0,1564678800.0,0.0,317,1239,21,21,21,10,176,0.1,69,10,1015,85
20,2019-08-01,1200.0,1564682400.0,0.0,317,1239,20,20,20,7,299,0.1,74,9,1015,82
21,2019-08-01,1260.0,1564686000.0,0.0,317,1239,19,19,19,5,299,0.1,80,9,1015,79
22,2019-08-01,1320.0,1564689600.0,0.0,317,1239,18,18,18,5,299,0.1,82,9,1015,78
23,2019-08-01,1380.0,1564693200.0,0.0,317,1239,18,18,18,5,176,0.1,84,9,1015,77
24,2019-08-02,0.0,1564696800.0,0.0,318,1237,17,17,17,5,176,0.1,86,9,1015,75
25,2019-08-02,60.0,1564700400.0,0.0,318,1237,17,16,17,6,176,0.0,87,9,1015,62
26,2019-08-02,120.0,1564704000.0,0.0,318,1237,16,16,16,7,176,0.0,88,9,1015,48
27,2019-08-02,180.0,1564707600.0,0.0,318,1237,16,15,16,8,176,0.0,89,10,1015,35
28,2019-08-02,240.0,1564711200.0,0.0,318,1237,16,16,16,8,176,0.0,87,10,1015,31
29,2019-08-02,300.0,1564714800.0,0.0,318,1237,16,16,16,8,116,0.0,86,10,1015,27
30,2019-08-02,360.0,1564718400.0,0.0,318,1237,17,17,17,8,116,0.0,84,10,1015,23
31,2019-08-02,420.0,1564722000.0,0.0,318,1237,18,18,19,8,116,0.0,78,10,1015,22
32,2019-08-02,480.0,1564725600.0,0.0,318,1237,19,19,21,9,116,0.0,72,10,1015,21
33,2019-08-02,540.0,1564729200.0,0.0,318,1237,20,20,22,9,116,0.0,67,10,1015,20
34,2019-08-02,600.0,1564732800.0,0.0,318,1237,21,21,23,9,116,0.0,61,10,1014,19
35,2019-08-02,660.0,1564736400.0,0.0,318,1237,22,24,24,9,116,0.0,56,10,1014,18
