,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-10-01,0.0,0.0,413,1109,13,14,14,4,143,0.0,97,2,1015,39
1,2016-10-01,60.0,0.0,413,1109,13,14,13,3,143,0.0,97,1,1015,60
2,2016-10-01,120.0,0.0,413,1109,12,13,13,3,248,0.0,97,1,1015,80
3,2016-10-01,180.0,0.0,413,1109,12,12,12,2,248,0.0,97,0,1015,100
4,2016-10-01,240.0,0.0,413,1109,12,13,13,3,248,0.0,95,3,1015,81
5,2016-10-01,300.0,0.0,413,1109,13,13,13,5,116,0.0,92,7,1015,63
6,2016-10-01,360.0,0.0,413,1109,13,13,14,7,116,0.0,90,10,1015,44
7,2016-10-01,420.0,0.0,413,1109,15,15,15,8,116,0.0,85,10,1014,40
8,2016-10-01,480.0,0.0,413,1109,16,16,16,9,116,0.0,80,10,1014,35
9,2016-10-01,540.0,0.0,413,1109,18,18,18,11,116,0.0,75,10,1014,31
10,2016-10-01,600.0,0.0,413,1109,19,19,20,11,116,0.0,68,10,1013,32
11,2016-10-01,660.0,0.0,413,1109,21,21,22,11,116,0.0,61,10,1013,33
12,2016-10-01,720.0,0.0,413,1109,22,25,25,11,116,0.0,54,10,1012,34
13,2016-10-01,780.0,0.0,413,1109,22,25,25,10,116,0.0,54,10,1012,30
14,2016-10-01,840.0,0.0,413,1109,22,25,25,10,113,0.0,54,10,1011,27
15,2016-10-01,900.0,0.0,413,1109,22,25,25,9,113,0.0,54,10,1011,24
16,2016-10-01,960.0,0.0,413,1109,21,21,22,10,113,0.0,59,10,1011,26
17,2016-10-01,1020.0,0.0,413,1109,19,19,20,11,116,0.0,64,10,1011,28
18,2016-10-01,1080.0,0.0,413,1109,18,18,18,12,116,0.0,70,10,1010,30
19,2016-10-01,1140.0,0.0,413,1109,17,17,17,11,116,0.0,72,10,1011,32
20,2016-10-01,1200.0,0.0,413,1109,16,16,16,11,176,0.4,75,9,1011,34
21,2016-10-01,1260.0,0.0,413,1109,16,16,16,11,176,0.5,77,9,1011,36
22,2016-10-01,1320.0,0.0,413,1109,15,15,15,10,176,0.2,81,9,1011,48
23,2016-10-01,1380.0,0.0,413,1109,15,15,15,10,119,0.0,85,10,1011,60
24,2016-10-02,0.0,0.0,414,1107,15,15,15,9,119,0.0,88,10,1011,72
25,2016-10-02,60.0,0.0,414,1107,15,15,15,9,119,0.0,89,10,1012,60
26,2016-10-02,120.0,0.0,414,1107,15,15,15,8,116,0.0,89,10,1012,48
27,2016-10-02,180.0,0.0,414,1107,15,15,15,8,116,0.0,89,10,1012,36
28,2016-10-02,240.0,0.0,414,1107,15,15,15,8,116,0.0,88,10,1013,40
29,2016-10-02,300.0,0.0,414,1107,15,15,15,7,116,0.0,86,10,1013,44
30,2016-10-02,360.0,0.0,414,1107,15,15,15,7,116,0.0,85,10,1013,48
31,2016-10-02,420.0,0.0,414,1107,16,16,16,7,116,0.0,80,10,1014,50
32,2016-10-02,480.0,0.0,414,1107,17,17,17,6,116,0.0,75,10,1014,52
33,2016-10-02,540.0,0.0,414,1107,18,19,19,6,116,0.0,70,10,1014,53
